ensg_id,target_name,annotation_name,annotation_grade
ENSG00000147889,CDKN2A,cytoplasmic,3
ENSG00000147889,CDKN2A,nucleoplasm,3
ENSG00000163624,CDS1,er,3
ENSG00000101290,CDS2,er,3
ENSG00000101290,CDS2,vesicles,3
ENSG00000115163,CENPA,nuclear_punctae,3
ENSG00000115163,CENPA,nucleolus_gc,1
ENSG00000100162,CENPM,nuclear_punctae,3
ENSG00000203760,CENPW,nuclear_punctae,3
ENSG00000141577,CEP131,centrosome,3
ENSG00000174799,CEP135,centrosome,3
ENSG00000110274,CEP164,centrosome,3
ENSG00000143702,CEP170,centrosome,3
ENSG00000143702,CEP170,cytoskeleton,2
ENSG00000101639,CEP192,centrosome,3
ENSG00000126001,CEP250,centrosome,3
ENSG00000135837,CEP350,centrosome,3
ENSG00000135837,CEP350,cytoskeleton,1
ENSG00000112877,CEP72,centrosome,3
ENSG00000148019,CEP78,centrosome,3
ENSG00000148019,CEP78,cytoplasmic,2
ENSG00000130695,CEP85,centrosome,3
ENSG00000130695,CEP85,cytoplasmic,1
ENSG00000134255,CEPT1,er,3
ENSG00000134255,CEPT1,vesicles,3
ENSG00000139624,CERS5,er,3
ENSG00000172292,CERS6,er,3
ENSG00000113163,CERT1,golgi,3
ENSG00000113163,CERT1,cytoplasmic,2
ENSG00000113163,CERT1,nucleoplasm,1
ENSG00000147400,CETN2,centrosome,3
ENSG00000147400,CETN2,chromatin,2
ENSG00000147400,CETN2,cytoplasmic,2
ENSG00000147400,CETN2,nucleoplasm,1
ENSG00000153140,CETN3,centrosome,3
ENSG00000153140,CETN3,cytoskeleton,2
ENSG00000153140,CETN3,cytoplasmic,1
ENSG00000153140,CETN3,nucleoplasm,1
ENSG00000159079,CFAP298,cytoplasmic,3
ENSG00000159079,CFAP298,nucleoplasm,3
ENSG00000149554,CHEK1,nucleoplasm,3
ENSG00000149554,CHEK1,cytoplasmic,1
ENSG00000183765,CHEK2,nucleoplasm,3
ENSG00000188419,CHM,cytoplasmic,3
ENSG00000188419,CHM,nucleoplasm,2
ENSG00000188419,CHM,vesicles,2
ENSG00000131165,CHMP1A,vesicles,3
ENSG00000131165,CHMP1A,nuclear_punctae,2
ENSG00000130724,CHMP2A,cytoplasmic,3
ENSG00000130724,CHMP2A,nucleoplasm,3
ENSG00000130724,CHMP2A,vesicles,1
ENSG00000083937,CHMP2B,cytoplasmic,3
ENSG00000083937,CHMP2B,vesicles,1
ENSG00000115561,CHMP3,vesicles,3
ENSG00000254505,CHMP4A,vesicles,3
ENSG00000254505,CHMP4A,cytoplasmic,2
ENSG00000254505,CHMP4A,nucleoplasm,2
ENSG00000101421,CHMP4B,vesicles,3
ENSG00000176108,CHMP6,membrane,3
ENSG00000176108,CHMP6,vesicles,3
ENSG00000176108,CHMP6,er,2
ENSG00000147457,CHMP7,cytoplasmic,3
ENSG00000147457,CHMP7,vesicles,2
ENSG00000147457,CHMP7,er,1
ENSG00000128656,CHN1,cytoplasmic,3
ENSG00000128656,CHN1,nucleoplasm,3
ENSG00000128656,CHN1,big_aggregates,1
ENSG00000111666,CHPT1,cytoplasmic,3
ENSG00000111666,CHPT1,nucleoplasm,3
ENSG00000213341,CHUK,cytoplasmic,3
ENSG00000213341,CHUK,nucleoplasm,2
ENSG00000136108,CKAP2,centrosome,3
ENSG00000136108,CKAP2,cytoskeleton,3
ENSG00000169607,CKAP2L,centrosome,3
ENSG00000169607,CKAP2L,cytoskeleton,3
ENSG00000169607,CKAP2L,cytoplasmic,2
ENSG00000169607,CKAP2L,nucleoplasm,2
ENSG00000169607,CKAP2L,nuclear_membrane,1
ENSG00000136026,CKAP4,er,3
ENSG00000175216,CKAP5,centrosome,3
ENSG00000175216,CKAP5,cytoplasmic,3
ENSG00000175216,CKAP5,cytoskeleton,1
ENSG00000166165,CKB,cytoplasmic,3
ENSG00000166165,CKB,nucleoplasm,3
ENSG00000074054,CLASP1,centrosome,3
ENSG00000074054,CLASP1,cytoskeleton,3
ENSG00000074054,CLASP1,cytoplasmic,2
ENSG00000163539,CLASP2,cytoskeleton,3
ENSG00000163539,CLASP2,golgi,3
ENSG00000163539,CLASP2,cytoplasmic,2
ENSG00000103249,CLCN7,vesicles,3
ENSG00000113282,CLINT1,vesicles,3
ENSG00000113282,CLINT1,golgi,2
ENSG00000130779,CLIP1,cytoplasmic,3
ENSG00000130779,CLIP1,cytoskeleton,3
ENSG00000130779,CLIP1,membrane,2
ENSG00000176444,CLK2,nuclear_punctae,3
ENSG00000176444,CLK2,chromatin,2
ENSG00000176444,CLK2,nucleoplasm,2
ENSG00000179335,CLK3,chromatin,3
ENSG00000179335,CLK3,nucleoplasm,3
ENSG00000074201,CLNS1A,cytoplasmic,3
ENSG00000074201,CLNS1A,nucleoplasm,3
ENSG00000074201,CLNS1A,nuclear_punctae,2
ENSG00000104853,CLPTM1,er,3
ENSG00000104853,CLPTM1,vesicles,2
ENSG00000122705,CLTA,vesicles,3
