,target,prey
2661091,ACTG1,ACTC1
2661175,ACTG1,POTEE;POTEJ;POTEI
2661195,ACTG1,CYFIP1
2661262,ACTG1,MNS1
2661324,ACTG1,PHACTR4
2661386,ACTG1,WDR44
2661394,ACTG1,ARHGAP12
2661434,ACTG1,BCL7A
2661440,ACTG1,LRRFIP1
2661452,ACTG1,TWF2
2661487,ACTG1,MTFR2
3732344,ACTN1,CAAP1
3732877,ACTN1,RELA
3733599,ACTN1,ACTN1
3733914,ACTN1,ACTN4
3734056,ACTN1,TOP3B
3736479,ACTN2,SUMO3;SUMO2;SUMO4
3736567,ACTN2,NME2;NME1-NME2;NME1
3737489,ACTN4,PDLIM1
3737620,ACTN4,ACTN4
3737625,ACTN4,ARPC2
3737626,ACTN4,ARPC1B
3737637,ACTN4,PPP1R12A
3737653,ACTN4,ARPC5
3737698,ACTN4,CAPZB
3737699,ACTN4,CAPZA2
3737789,ACTN4,CAPZA1
3737936,ACTN4,ACTN1
3738232,ACTN4,SPECC1L;SPECC1L-ADORA2A
3738424,ACTN4,UNNAMED
3738610,ACTN4,ARPC4-TTLL3;ARPC4
3738668,ACTN4,MYO1B
3738824,ACTN4,ARPC5L
3738882,ACTN4,PPP1R9B
3739016,ACTN4,LMO7
3739031,ACTN4,ARPC1A
3739718,ACTN4,CTTN
3739842,ACTN4,ACTR2
3740212,ACTN4,AIF1L
2122321,ACTR2,SYDE2
2122483,ACTR2,CLEC16A
2122513,ACTR2,CEP85L
2122520,ACTR2,CRTC2
2122531,ACTR2,HSP90AB2P
2122824,ACTR2,PPIA
2122831,ACTR2,YWHAZ
2122859,ACTR2,YWHAH
2122972,ACTR2,YWHAE
2122988,ACTR2,YWHAG
2123005,ACTR2,ACTR3
2123018,ACTR2,ACTR2
2123060,ACTR2,EIF2B1
2123128,ACTR2,ANGPT1
2123259,ACTR2,NCKIPSD
2123273,ACTR2,ACTR3B
2123411,ACTR2,UPF2
2123649,ACTR2,APPL1
2123672,ACTR2,TRAPPC4
2123684,ACTR2,TRAPPC8
2123712,ACTR2,BAIAP2
2123909,ACTR2,ARPC1A
2123979,ACTR2,KLC2
2124124,ACTR2,ARPC5L
2124340,ACTR2,MARK2
2124419,ACTR2,PAICS
2124472,ACTR2,ANP32A
2124525,ACTR2,ARPC4-TTLL3;ARPC4
2124609,ACTR2,CLASP1
2124610,ACTR2,PSMA4
2124708,ACTR2,CHURC1;CHURC1-FNTB
2124729,ACTR2,UNNAMED
2124754,ACTR2,TBC1D4
2124797,ACTR2,NDUFA10
2124955,ACTR2,ARL1
2124994,ACTR2,RANBP1
2125164,ACTR2,NME2
2125228,ACTR2,YWHAQ
2125284,ACTR2,ESD
2125301,ACTR2,PFN1
2125355,ACTR2,MTHFD1
2125524,ACTR2,PRDX2
2125545,ACTR2,ATIC
2125549,ACTR2,YWHAB
2125556,ACTR2,MNDA
2125637,ACTR2,ARPC1B
2125638,ACTR2,ARPC2
2125639,ACTR2,ARPC3
2125718,ACTR2,ARPC5
2125913,ACTR2,GAPDH
4488422,ACTR5,ACTR5
4489177,ACTR5,INO80C
1343643,AGAP1,AGAP3
1344205,AGAP1,AGAP1
1344358,AGAP1,TANC1
1347599,AGAP3,C12ORF57
1347780,AGAP3,UBE2O
1347782,AGAP3,TANC1
1347935,AGAP3,AGAP1
1347949,AGAP3,DCTN1;DKFZP686E0752
1348524,AGAP3,AGAP3
1349196,AGAP3,AHCYL1
2661867,AGO1,TNRC6A
2662684,AGO1,TNRC6C
2662910,AGO1,AGO2
2662913,AGO1,AGO1
2662957,AGO1,TNRC6B
2767455,AGO2,TNRC6A
2767527,AGO2,COPS6
2768093,AGO2,FKBP5
2768243,AGO2,TNRC6C
2768246,AGO2,AGO3
2768498,AGO2,AGO2
2768501,AGO2,AGO1
2768545,AGO2,TNRC6B
2768629,AGO2,CNDP2
2768911,AGO2,NELFA
235466,AGPAT6,TMEM120B
235995,AGPAT6,CHP1
237426,AGPAT6,MSH6
237623,AGPAT6,AGPAT6
4305449,AHCY,C1ORF50
4306064,AHCY,ERLIN2
4306256,AHCY,AHCY
4306310,AHCY,ENO2
4306628,AHCY,GAK
4306662,AHCY,ANKRD40
347076,AHSA1,RNF219
347148,AHSA1,HSP90AB2P
347343,AHSA1,RICTOR
347693,AHSA1,KPNB1
347783,AHSA1,APLP2
347828,AHSA1,FKBP5
347909,AHSA1,GDAP2
348297,AHSA1,ECT2
349307,AHSA1,AP2M1
349648,AHSA1,HSP90B1
349731,AHSA1,HSP90AB1
349777,AHSA1,HSP90AA1
350280,AHSA1,AHSA1
350361,AHSA1,TOMM40
1133132,AKAP12,GAPDH
1133209,AKAP12,LDHA
1133363,AKAP12,ORC4
1133701,AKAP12,PRKACA
1133706,AKAP12,PRKAR2A
1134288,AKAP12,HSPA12A
1135716,AKAP12,FHL1
1135997,AKAP12,TRAP1
1136001,AKAP12,AKAP12
1136294,AKAP12,ACADM
1025947,AKAP13,ARHGEF18
1027664,AKAP13,AKAP13
3561369,AKAP8L,HSPD1
3562689,AKAP8L,AKAP8L
1245446,AKR1A1,AKR1A1
1246833,AKR1A1,PRKAA1
1028818,AKT1,VASP
1029012,AKT1,AKT1
1029775,AKT1,RPS6KB2;RPS6KB1
1030684,AKT1,GPHN
3740559,AKT1S1,RPTOR
3740775,AKT1S1,YWHAH
3740891,AKT1S1,YWHAG
3740901,AKT1S1,YWHAE
3742983,AKT1S1,MTOR
2559207,AKT2,AKT2
2559514,AKT2,AP1G1
126892,ALCAM,LAMB1
126993,ALCAM,ABCC1
127290,ALCAM,ALCAM
1248639,ALDH16A1,TRIAP1
1249983,ALDH16A1,DERA
1250659,ALDH16A1,KIAA0430
1250991,ALDH16A1,DCTN2
1251353,ALDH16A1,ALDH16A1
1251570,ALDH16A1,PRR14L
1254777,ALDH7A1,ALDH7A1
1255735,ALDH9A1,ALDH9A1
1136698,ALG2,LDHA
1138440,ALG2,ALG2
1139078,ALG2,TECR
4630916,AMBRA1,PRPF40A
4631196,AMBRA1,RBM25
4631353,AMBRA1,DDA1
4632563,AMBRA1,CWF19L2
4632626,AMBRA1,DDB1
1620342,ANAPC11,CCT7
1620927,ANAPC11,ANAPC4
1621037,ANAPC11,ANAPC11
1622091,ANAPC16,BUB1B
1622620,ANAPC16,NEK2
1623176,ANAPC16,PYCR2
1623422,ANAPC16,CDC27
1623624,ANAPC16,PYCR1
1623753,ANAPC16,ANAPC5
1623841,ANAPC16,CCT7
1623868,ANAPC16,ANAPC13
1623939,ANAPC16,ANAPC1
1624022,ANAPC16,ANAPC16
1624273,ANAPC16,FBXO5
1624302,ANAPC16,ANAPC10
1624303,ANAPC16,FZR1
1624393,ANAPC16,SNX9
1624560,ANAPC16,ANAPC2
1624561,ANAPC16,ANAPC4
1624562,ANAPC16,ANAPC7
1624563,ANAPC16,CDC23
1624970,ANAPC16,CDC20
1625208,ANAPC16,CDC26
1625312,ANAPC16,CDC16
1625708,ANAPC2,CDC16
1625811,ANAPC2,CDC26
1626048,ANAPC2,CDC20
1626457,ANAPC2,CDC23
1626458,ANAPC2,ANAPC7
1626459,ANAPC2,ANAPC4
1626460,ANAPC2,ANAPC2
1626569,ANAPC2,ANAPC11
1626717,ANAPC2,FZR1
1626718,ANAPC2,ANAPC10
1626747,ANAPC2,FBXO5
1626998,ANAPC2,ANAPC16
1627080,ANAPC2,ANAPC1
1627152,ANAPC2,ANAPC13
1627179,ANAPC2,CCT7
1627269,ANAPC2,ANAPC5
1627396,ANAPC2,PYCR1
1627599,ANAPC2,CDC27
1627843,ANAPC2,PYCR2
1627929,ANAPC2,SRI
1628398,ANAPC2,NEK2
1628930,ANAPC2,BUB1B
1629141,ANAPC4,HP1BP3
1629215,ANAPC4,CDC16
1629287,ANAPC4,DCAF11
1629304,ANAPC4,DEPDC1B
1629319,ANAPC4,CDC26
1629321,ANAPC4,KIF18A
1629442,ANAPC4,KLHL7
1629528,ANAPC4,CDC20
1629804,ANAPC4,MAD2L1
1629912,ANAPC4,TERF2IP
1629913,ANAPC4,ANAPC11
1630101,ANAPC4,CDC23
1630225,ANAPC4,FZR1
1630226,ANAPC4,ANAPC10
1630238,ANAPC4,ANAPC7
1630239,ANAPC4,ANAPC4
1630240,ANAPC4,ANAPC2
1630254,ANAPC4,FBXO5
1630503,ANAPC4,ANAPC16
1630586,ANAPC4,ANAPC1
1630658,ANAPC4,ANAPC13
1630684,ANAPC4,CCT7
1630767,ANAPC4,ANAPC5
1630894,ANAPC4,PYCR1
1631098,ANAPC4,CDC27
1631339,ANAPC4,PYCR2
1631869,ANAPC4,NEK2
1632123,ANAPC4,BUB1
1632186,ANAPC4,FHOD3
1632215,ANAPC4,BUB3
1632427,ANAPC4,BUB1B
2456940,ANKRD10,TAB2
2456949,ANKRD10,ANKRD10
2457166,ANKRD10,TRIP6
2458325,ANKRD11,ANKRD11
2464958,ANKRD13A,RPS27A;UBC;UBB;UBA52
2464973,ANKRD13A,RHOB
2465234,ANKRD13A,ANKRD13A
2465801,ANKRD13C,ANKRD13C
2469529,ANKRD17,ANKHD1
2471406,ANKRD17,ANKRD17
2472121,ANKRD17,HOXB6
2472681,ANKRD17,LONP1
2473319,ANKRD27,SRSF1
2474194,ANKRD27,TBC1D4
2475292,ANKRD27,ANKRD27
2475999,ANKRD27,NCOA1
2476009,ANKRD27,TRIP6
2477127,ANKRD28,ANKRD52
2477275,ANKRD28,PRKDC
2478038,ANKRD28,ARHGEF2
2478142,ANKRD28,PPP6R1
2478932,ANKRD28,PPP6R3
2479206,ANKRD28,ANKRD44
2479231,ANKRD28,IQSEC1
2479283,ANKRD28,AP2M1
2479354,ANKRD28,PPIP5K2
2480107,ANKRD28,ANKRD28
2480126,ANKRD28,PPP6C
2480365,ANKRD28,AP2A2
2480468,ANKRD28,PPP6R2
2480861,ANKRD39,SRSF1
2481108,ANKRD39,CDC25C
2482365,ANKRD39,NEDD8;NEDD8-MDP1
2482494,ANKRD39,MED18
2484114,ANKRD39,ANKRD39
2485810,ANKRD40,EP400
2486044,ANKRD40,C2ORF44
2487250,ANKRD40,AHCY
2487863,ANKRD40,ANKRD40
2488788,ANKRD46,SPCS3
2488948,ANKRD46,BNIP1
2489520,ANKRD46,FAF2
2489777,ANKRD46,LMAN2L
2489858,ANKRD46,TMX1
2489871,ANKRD46,SEC62
2490301,ANKRD46,ANKRD46
2490329,ANKRD46,SRPRB
2490397,ANKRD46,VEZT
2490910,ANKRD46,NBAS
2490999,ANKRD46,CANX
2491494,ANKRD46,PGRMC2
2491615,ANKRD46,MGRN1
2491758,ANKRD46,SEP15
2491827,ANKRD46,ZMPSTE24
2491831,ANKRD46,ATRN
2492218,ANKRD52,ANKRD52
2493262,ANKRD52,PPP6R1
2494019,ANKRD52,PPP6R3
2495193,ANKRD52,ANKRD28
2495212,ANKRD52,PPP6C
2495554,ANKRD52,PPP6R2
2495705,ANKRD54,ANKRD54
2497193,ANKRD54,SNX33
2497305,ANKRD54,FAM192A;NIP30
2497793,ANKRD54,HNRNPUL2-BSCL2;HNRNPUL2
2498022,ANKRD54,KIAA1279
2498232,ANKRD54,DOCK1
2498782,ANKRD54,KPNA2
2499169,ANKRD54,PSME3
2499395,ANKRD54,TULP3
2499698,ANKZF1,PSMD12
2499699,ANKZF1,PSMD11
2499773,ANKZF1,PSMD3
2500006,ANKZF1,PSMC4
2500030,ANKZF1,PSMB2
2500056,ANKZF1,PSMD7
2500288,ANKZF1,PSMA5
2500600,ANKZF1,PSMC6
2501035,ANKZF1,APRT
2501259,ANKZF1,PSMC3
2501390,ANKZF1,PSMB7
2501453,ANKZF1,ANKZF1
2501862,ANKZF1,PSMD13
2502453,ANKZF1,PSMD6
2502503,ANKZF1,PSMA6
2502527,ANKZF1,PSMC5
2017337,ANLN,GEMIN4
2017790,ANLN,APMAP
2017845,ANLN,ANLN
2018619,ANLN,IQGAP3
2019070,ANLN,PPIF
2019412,ANLN,SRI
2020199,ANLN,FLOT2
2023559,ANXA11,PRDX3
2023672,ANXA11,ANXA11
2024097,ANXA11,OAT
4489635,AP2B1,AAK1
4489871,AP2B1,AP2B1
4489924,AP2B1,AP2S1
4490111,AP2B1,FCHO2
4490196,AP2B1,CALCOCO1
4490347,AP2B1,BMP2K
4491043,AP2B1,REPS1
4491171,AP2B1,NUMB
