,target,prey,ensg_id,prey_ensg,plex,huri,Hein
195,ACTG1,MTFR1,ENSG00000184009,ENSG00000066855,False,False,False
196,ACTG1,PHACTR2,ENSG00000184009,ENSG00000112419,False,False,False
197,ACTG1,MAP3K4,ENSG00000184009,ENSG00000085511,False,False,False
198,ACTG1,SMARCD2,ENSG00000184009,ENSG00000108604,False,False,False
199,ACTG1,BCL7C,ENSG00000184009,ENSG00000099385,False,False,False
200,ACTG1,SPIRE1,ENSG00000184009,ENSG00000134278,False,False,False
201,ACTG1,DCTN5,ENSG00000184009,ENSG00000166847,False,False,False
202,ACTG1,CAPZA1,ENSG00000184009,ENSG00000116489,False,False,False
203,ACTG1,CAP2,ENSG00000184009,ENSG00000112186,False,True,False
204,ACTG1,DCTN1;DKFZP686E0752,ENSG00000184009,ENSG00000204843,False,False,False
205,ACTG1,CYFIP2,ENSG00000184009,ENSG00000055163,False,False,False
206,ACTG1,ADD1,ENSG00000184009,ENSG00000087274,False,False,False
207,ACTG1,CCDC53,ENSG00000184009,ENSG00000120860,False,False,False
208,ACTG1,BCL7B,ENSG00000184009,ENSG00000106635,False,False,False
209,ACTG1,ARPC5L,ENSG00000184009,ENSG00000136950,False,False,False
210,ACTG1,CCT7,ENSG00000184009,ENSG00000135624,False,False,False
211,ACTG1,PDCL3,ENSG00000184009,ENSG00000115539,False,False,False
212,ACTG1,CSRP2BP,ENSG00000184009,ENSG00000149474,False,False,False
213,ACTG1,FMNL2,ENSG00000184009,ENSG00000157827,False,False,False
214,ACTG1,WASF1,ENSG00000184009,ENSG00000112290,False,False,False
215,ACTG1,SMARCC1,ENSG00000184009,ENSG00000173473,False,False,False
216,ACTG1,DPF2,ENSG00000184009,ENSG00000133884,False,False,False
217,ACTG1,CKAP2,ENSG00000184009,ENSG00000136108,False,False,False
218,ACTG1,DLG5,ENSG00000184009,ENSG00000274429,False,False,False
219,ACTG1,FBXO30,ENSG00000184009,ENSG00000118496,False,False,False
220,ACTG1,SMARCC2,ENSG00000184009,ENSG00000139613,False,False,False
221,ACTG1,BRK1,ENSG00000184009,ENSG00000254999,False,False,False
222,ACTG1,SPIRE2,ENSG00000184009,ENSG00000204991,False,False,False
223,ACTG1,WHAMM;WHAMMP3,ENSG00000184009,ENSG00000156232,False,False,False
224,ACTG1,PRR11,ENSG00000184009,ENSG00000068489,False,False,False
225,ACTG1,SMARCD1,ENSG00000184009,ENSG00000066117,False,False,False
226,ACTG1,EP400,ENSG00000184009,ENSG00000183495,False,False,False
227,ACTG1,SMARCE1,ENSG00000184009,ENSG00000073584,False,False,False
228,ACTG1,BAIAP2,ENSG00000184009,ENSG00000175866,False,False,False
229,ACTG1,NCKAP1,ENSG00000184009,ENSG00000061676,False,False,False
230,ACTG1,CFL2,ENSG00000184009,ENSG00000165410,False,True,False
231,ACTG1,MKL2,ENSG00000184009,ENSG00000186260,False,False,False
232,ACTG1,PACSIN2,ENSG00000184009,ENSG00000100266,False,False,False
233,ACTG1,WASF2,ENSG00000184009,ENSG00000158195,False,False,False
234,ACTG1,SCIN,ENSG00000184009,ENSG00000006747,False,False,False
235,ACTG1,DYNC1LI1,ENSG00000184009,ENSG00000144635,False,False,False
236,ACTG1,LRRFIP2,ENSG00000184009,ENSG00000093167,False,False,False
237,ACTG1,MRFAP1,ENSG00000184009,ENSG00000179010,False,False,False
238,ACTG1,DCTN4,ENSG00000184009,ENSG00000132912,False,False,False
239,ACTG1,GPHN,ENSG00000184009,ENSG00000171723,False,False,False
240,ACTG1,TUBGCP4,ENSG00000184009,ENSG00000137822,False,False,False
241,ACTG1,ADD3,ENSG00000184009,ENSG00000148700,False,False,False
242,ACTG1,EVL,ENSG00000184009,ENSG00000196405,False,False,False
243,ACTG1,BAIAP2L1,ENSG00000184009,ENSG00000006453,False,False,False
244,ACTG1,FMN2,ENSG00000184009,ENSG00000155816,False,False,False
245,ACTG1,ACTR10,ENSG00000184009,ENSG00000131966,False,False,False
246,ACTG1,KIAA1522,ENSG00000184009,ENSG00000162522,False,False,False
247,ACTG1,NCKIPSD,ENSG00000184009,ENSG00000213672,False,False,False
248,ACTG1,SPTAN1,ENSG00000184009,ENSG00000197694,False,False,False
249,ACTG1,FLII,ENSG00000184009,ENSG00000284571,False,False,False
250,ACTG1,SMARCB1,ENSG00000184009,ENSG00000099956,False,False,False
251,ACTG1,TWF1,ENSG00000184009,ENSG00000151239,False,False,False
252,ACTG1,ACTR1A,ENSG00000184009,ENSG00000138107,False,False,False
253,ACTG1,GMFB,ENSG00000184009,ENSG00000197045,False,False,False
254,ACTG1,CAP1,ENSG00000184009,ENSG00000131236,False,False,False
255,ACTG1,CCT2,ENSG00000184009,ENSG00000166226,False,False,False
256,ACTC1,ACTG1,ENSG00000184009,ENSG00000159251,False,False,False
257,ACTG1,POTEE;POTEJ;POTEI,ENSG00000184009,ENSG00000196834,False,False,False
258,ACTG1,MNS1,ENSG00000184009,ENSG00000138587,False,False,False
259,ACTG1,WDR44,ENSG00000184009,ENSG00000131725,False,False,False
260,ACTG1,ARHGAP12,ENSG00000184009,ENSG00000165322,False,False,False
261,ACTG1,BCL7A,ENSG00000184009,ENSG00000282873,False,False,False
262,ACTG1,LRRFIP1,ENSG00000184009,ENSG00000124831,False,False,False
263,ACTG1,TWF2,ENSG00000184009,ENSG00000173366,False,False,False
264,ACTG1,MTFR2,ENSG00000184009,ENSG00000146410,False,False,False
265,ACTN1,CAAP1,ENSG00000072110,ENSG00000120159,False,False,False
266,ACTN1,RELA,ENSG00000072110,,False,False,False
267,ACTN1,ACTN4,ENSG00000072110,ENSG00000077522,False,False,False
268,ACTN1,TOP3B,ENSG00000072110,ENSG00000100038,True,False,False
269,ACTN2,SUMO3;SUMO2;SUMO4,ENSG00000077522,ENSG00000177688,False,False,False
270,ACTN2,NME2;NME1-NME2;NME1,ENSG00000077522,ENSG00000011052,False,False,False
271,ACTN4,PDLIM1,ENSG00000130402,ENSG00000107438,True,False,False
272,ACTN4,ARPC2,ENSG00000130402,ENSG00000163466,False,False,False
273,ACTN4,ARPC1B,ENSG00000130402,ENSG00000130429,True,False,False
274,ACTN4,PPP1R12A,ENSG00000130402,ENSG00000058272,False,False,False
275,ACTN4,ARPC5,ENSG00000130402,ENSG00000162704,True,False,False
276,ACTN4,CAPZB,ENSG00000130402,ENSG00000077549,True,False,False
277,ACTN4,CAPZA2,ENSG00000130402,ENSG00000198898,True,False,True
278,ACTN4,CAPZA1,ENSG00000130402,ENSG00000116489,True,False,False
279,ACTN4,SPECC1L;SPECC1L-ADORA2A,ENSG00000130402,ENSG00000100014,False,False,False
280,ACTN4,UNNAMED,ENSG00000130402,ENSG00000284292,False,False,False
281,ACTN4,ARPC4-TTLL3;ARPC4,ENSG00000130402,,False,False,False
282,ACTN4,MYO1B,ENSG00000130402,ENSG00000128641,True,False,False
283,ACTN4,ARPC5L,ENSG00000130402,ENSG00000136950,False,False,False
284,ACTN4,PPP1R9B,ENSG00000130402,ENSG00000108819,False,False,False
285,ACTN4,LMO7,ENSG00000130402,ENSG00000136153,False,False,False
286,ACTN4,ARPC1A,ENSG00000130402,ENSG00000241685,True,False,False
287,ACTN4,CTTN,ENSG00000130402,ENSG00000288401,True,False,False
288,ACTN4,ACTR2,ENSG00000130402,ENSG00000138071,False,False,False
289,ACTN4,AIF1L,ENSG00000130402,ENSG00000126878,False,False,False
290,ACTR2,SYDE2,ENSG00000138071,ENSG00000097096,False,False,False
