gene_name,ensg_id,,uniprot_id,is_rna_bp,is_dna_bp,is_xna_bp
KCNJ2,ENSG00000123700,,P63252,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ3,ENSG00000162989,,P48549,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ4,ENSG00000168135,,P48050,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ5,ENSG00000120457,,P48544,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ6,ENSG00000157542,,P48051,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ8,ENSG00000121361,,Q15842,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNJ9,ENSG00000162728,,Q92806,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK1,ENSG00000135750,,O00180,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK10,ENSG00000100433,,P57789,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK12,ENSG00000184261,,Q9HB15,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK13,ENSG00000152315,,Q9HB14,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK15,ENSG00000124249,,Q9H427,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK16,ENSG00000095981,,Q96T55,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK17,ENSG00000124780,,Q96T54,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK18,ENSG00000186795,,Q7Z418,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK2,ENSG00000082482,,O95069,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK3,ENSG00000171303,,O14649,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK4,ENSG00000182450,,Q9NYG8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK5,ENSG00000164626,,O95279,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK6,ENSG00000099337,,Q9Y257,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK7,ENSG00000173338,,Q9Y2U2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNK9,ENSG00000169427,,Q9NPC2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNMA1,ENSG00000156113,,Q12791,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNMB1,ENSG00000145936,,Q16558,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNMB2,ENSG00000197584,,Q9Y691,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNMB3,ENSG00000171121,,Q9NPA1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNMB4,ENSG00000135643,,Q86W47,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNN1,ENSG00000105642,,Q92952,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNN2,ENSG00000080709,,Q9H2S1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNN3,ENSG00000143603,,Q9UGI6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNN4,ENSG00000104783,,O15554,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNQ1,ENSG00000053918,,P51787,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNQ2,ENSG00000075043,,O43526,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNQ3,ENSG00000184156,,O43525,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNQ4,ENSG00000117013,,P56696,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNQ5,ENSG00000185760,,Q9NR82,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNRG,ENSG00000198553,,Q8N5I3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNS1,ENSG00000124134,,Q96KK3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNS2,ENSG00000156486,,Q9ULS6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNS3,ENSG00000170745,,Q9BQ31,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNT1,ENSG00000107147,,Q5JUK3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNT2,ENSG00000162687,,Q6UVM3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNU1,ENSG00000215262,,A8MYU2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNV1,ENSG00000164794,,Q6PIU1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCNV2,ENSG00000168263,,Q8TDN2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCP,ENSG00000135253,,Q6ZWJ8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCT2,ENSG00000113583,,Q8NC54,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD1,ENSG00000134504,,Q719H9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD10,ENSG00000110906,,Q9H3F6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD11,ENSG00000213859,,Q693B1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD12,ENSG00000178695,,Q96CX2,RNA_BP,NOT_DNA_BP,xNA_BP
KCTD13,ENSG00000174943,,Q8WZ19,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD14,ENSG00000151364,,Q9BQ13,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD15,ENSG00000153885,,Q96SI1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD16,ENSG00000183775,,Q68DU8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD17,ENSG00000100379,,Q8N5Z5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD18,ENSG00000155729,,Q6PI47,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD19,ENSG00000168676,,Q17RG1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD2,ENSG00000180901,,Q14681,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD20,ENSG00000112078,,Q7Z5Y7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD21,ENSG00000188997,,Q4G0X4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD3,ENSG00000136636,,Q9Y597,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD4,ENSG00000180332,,Q8WVF5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD5,ENSG00000167977,,Q9NXV2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD6,ENSG00000168301,,Q8NC69,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD7,ENSG00000243335,,Q96MP8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD8,ENSG00000183783,,Q6ZWB6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KCTD9,ENSG00000104756,,Q7L273,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDELR1,ENSG00000105438,,P24390,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDELR2,ENSG00000136240,,P33947,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDELR3,ENSG00000100196,,O43731,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDF1,ENSG00000175707,,Q8NAX2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM1A,ENSG00000004487,,O60341,RNA_BP,DNA_BP,NOT_xNA_BP
KDM1B,ENSG00000165097,,Q8NB78,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM2A,ENSG00000173120,,Q9Y2K7,NOT_RNA_BP,DNA_BP,xNA_BP
KDM2B,ENSG00000089094,,Q8NHM5,RNA_BP,DNA_BP,xNA_BP
KDM3A,ENSG00000115548,,Q9Y4C1,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM3B,ENSG00000120733,,Q7LBC6,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM4A,ENSG00000066135,,O75164,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM4B,ENSG00000127663,,O94953,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM4C,ENSG00000107077,,Q9H3R0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM4D,ENSG00000186280,,Q6B0I6,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM4E,ENSG00000235268,,B2RXH2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM5A,ENSG00000073614,,P29375,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM5B,ENSG00000117139,,Q9UGL1,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM5C,ENSG00000126012,,P41229,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM5D,ENSG00000012817,,Q9BY66,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM6A,ENSG00000147050,,O15550,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM6B,ENSG00000132510,,O15054,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KDM7A,ENSG00000006459,,Q6ZMT4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDM8,ENSG00000155666,,Q8N371,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDR,ENSG00000128052,,P35968,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KDSR,ENSG00000119537,,Q06136,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KEAP1,ENSG00000079999,,Q14145,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KEL,ENSG00000197993,,P23276,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KERA,ENSG00000139330,,O60938,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHDC1,ENSG00000135314,,Q4VXA5,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHDC1L,ENSG00000256980,,Q5JSQ8,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHDC3L,ENSG00000203908,,Q587J8,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHDC4,ENSG00000132680,,Q7Z7F0,RNA_BP,NOT_DNA_BP,xNA_BP
KHDRBS1,ENSG00000121774,,Q07666,RNA_BP,DNA_BP,xNA_BP
KHDRBS2,ENSG00000112232,,Q5VWX1,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHDRBS3,ENSG00000131773,,O75525,RNA_BP,NOT_DNA_BP,xNA_BP
KHK,ENSG00000138030,,P50053,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHNYN,ENSG00000100441,,O15037,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KHSRP,ENSG00000088247,,Q92945,RNA_BP,DNA_BP,xNA_BP
KIAA0040,ENSG00000235750,,Q15053,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0100,ENSG00000007202,,Q14667,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0232,ENSG00000170871,,Q92628,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0319,ENSG00000137261,,Q5VV43,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0319L,ENSG00000142687,,Q8IZA0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0408,ENSG00000189367,,Q6ZU52,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0513,ENSG00000135709,,O60268,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0586,ENSG00000100578,,Q9BVV6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0753,ENSG00000198920,,Q2KHM9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0825,ENSG00000185261,,Q8IV33,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0895,ENSG00000164542,,Q8NCT3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0895L,ENSG00000196123,,Q68EN5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA0930,ENSG00000100364,,Q6ICG6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1109,ENSG00000138688,,Q2LD37,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1143,ENSG00000163807,,Q96AT1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1191,ENSG00000122203,,Q96A73,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1210,ENSG00000250423,,Q9ULL0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1217,ENSG00000120549,,Q5T5P2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1328,ENSG00000150477,,Q86T90,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1522,ENSG00000162522,,Q9P206,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1549,ENSG00000122778,,Q9HCM3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1549L,ENSG00000110427,,Q6ZVL6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1586,ENSG00000168116,,Q9HCI6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1614,ENSG00000135835,,Q5VZ46,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1671,ENSG00000197077,,Q9BY89,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1755,ENSG00000149633,,Q5JYT7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1841,ENSG00000162929,,Q6NSI8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA1958,ENSG00000165185,,Q8N8K9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA2012,ENSG00000182329,,Q0VF49,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA2013,ENSG00000116685,,Q8IYS2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIAA2026,ENSG00000183354,,Q5HYC2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KICS2,ENSG00000174206,,Q96MD2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIDINS220,ENSG00000134313,,Q9ULH0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF11,ENSG00000138160,,P52732,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF12,ENSG00000136883,,Q96FN5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF13A,ENSG00000137177,,Q9H1H9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF13B,ENSG00000197892,,Q9NQT8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF14,ENSG00000118193,,Q15058,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF15,ENSG00000163808,,Q9NS87,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF16B,ENSG00000089177,,Q96L93,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF17,ENSG00000117245,,Q9P2E2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF18A,ENSG00000121621,,Q8NI77,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF18B,ENSG00000186185,,Q86Y91,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF19,ENSG00000196169,,Q2TAC6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF1A,ENSG00000130294,,Q12756,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF1B,ENSG00000054523,,O60333,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF1C,ENSG00000129250,,O43896,RNA_BP,NOT_DNA_BP,xNA_BP
KIF20A,ENSG00000112984,,O95235,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF20B,ENSG00000138182,,Q96Q89,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF21A,ENSG00000139116,,Q7Z4S6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF21B,ENSG00000116852,,O75037,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF22,ENSG00000079616,,Q14807,NOT_RNA_BP,DNA_BP,xNA_BP
KIF23,ENSG00000137807,,Q02241,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF24,ENSG00000186638,,Q5T7B8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF25,ENSG00000125337,,Q9UIL4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF26A,ENSG00000066735,,Q9ULI4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF26B,ENSG00000162849,,Q2KJY2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF27,ENSG00000165115,,Q86VH2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF2A,ENSG00000068796,,O00139,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF2B,ENSG00000141200,,Q8N4N8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF2C,ENSG00000142945,,Q99661,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KIF3A,ENSG00000131437,,Q9Y496,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF3B,ENSG00000101350,,O15066,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF3C,ENSG00000084731,,O14782,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF4A,ENSG00000090889,,O95239,NOT_RNA_BP,DNA_BP,xNA_BP
KIF4B,ENSG00000226650,,Q2VIQ3,NOT_RNA_BP,DNA_BP,xNA_BP
KIF5A,ENSG00000155980,,Q12840,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF5B,ENSG00000170759,,P33176,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF5C,ENSG00000168280,,O60282,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF6,ENSG00000164627,,Q6ZMV9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF7,ENSG00000166813,,Q2M1P5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIF9,ENSG00000088727,,Q9HAQ2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIFAP3,ENSG00000075945,,Q92845,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIFBP,ENSG00000198954,,Q96EK5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIFC1,ENSG00000204197,,Q9BW19,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIFC2,ENSG00000167702,,Q96AC6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIFC3,ENSG00000140859,,Q9BVG8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIN,ENSG00000151657,,O60870,RNA_BP,DNA_BP,xNA_BP
KIR2DL1,ENSG00000125498,,P43626,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DL2,ENSG00000275546,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DL3,ENSG00000243772,,P43628,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DL4,ENSG00000189013,,Q99706,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DL5A,ENSG00000274676,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DL5B,ENSG00000278481,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DS1,ENSG00000276327,,Q14954,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DS2,ENSG00000277885,,P43631,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DS3,ENSG00000277657,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DS4,ENSG00000276885,,P43632,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR2DS5,ENSG00000274739,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR3DL1,ENSG00000167633,,P43629,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR3DL2,ENSG00000240403,,P43630,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR3DL3,ENSG00000274639,,Q8N743,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR3DS1,ENSG00000275434,,Q14943,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIR3DX1,ENSG00000276848,,Q9H7L2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIRREL1,ENSG00000183853,,Q96J84,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIRREL2,ENSG00000126259,,Q6UWL6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIRREL3,ENSG00000149571,,Q8IZU9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KISS1,ENSG00000170498,,Q15726,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KISS1R,ENSG00000116014,,Q969F8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIT,ENSG00000157404,,P10721,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KITLG,ENSG00000049130,,P21583,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KIZ,ENSG00000088970,,Q2M2Z5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KL,ENSG00000133116,,Q9UEF7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLB,ENSG00000134962,,Q86Z14,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLC1,ENSG00000126214,,Q07866,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLC2,ENSG00000174996,,Q9H0B6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLC3,ENSG00000104892,,Q6P597,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLC4,ENSG00000137171,,Q9NSK0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLF1,ENSG00000105610,,Q13351,NOT_RNA_BP,DNA_BP,xNA_BP
KLF10,ENSG00000155090,,Q13118,NOT_RNA_BP,DNA_BP,xNA_BP
KLF11,ENSG00000172059,,O14901,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF12,ENSG00000118922,,Q9Y4X4,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF13,ENSG00000275746,,Q9Y2Y9,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF14,ENSG00000266265,,Q8TD94,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF15,ENSG00000163884,,Q9UIH9,NOT_RNA_BP,DNA_BP,xNA_BP
KLF16,ENSG00000129911,,Q9BXK1,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF17,ENSG00000171872,,Q5JT82,NOT_RNA_BP,DNA_BP,xNA_BP
KLF18,ENSG00000283039,,A0A0U1RQI7,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF2,ENSG00000127528,,Q9Y5W3,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF3,ENSG00000109787,,P57682,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF4,ENSG00000136826,,O43474,NOT_RNA_BP,DNA_BP,xNA_BP
KLF5,ENSG00000102554,,Q13887,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF6,ENSG00000067082,,Q99612,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF7,ENSG00000118263,,O75840,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF8,ENSG00000102349,,O95600,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLF9,ENSG00000119138,,Q13886,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
KLHDC1,ENSG00000197776,,Q8N7A1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC10,ENSG00000128607,,Q6PID8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC2,ENSG00000165516,,Q9Y2U9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC3,ENSG00000124702,,Q9BQ90,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC4,ENSG00000104731,,Q8TBB5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC7A,ENSG00000179023,,Q5VTJ3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC7B,ENSG00000130487,,Q96G42,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC8A,ENSG00000162873,,Q8IYD2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC8B,ENSG00000185909,,Q8IXV7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHDC9,ENSG00000162755,,Q8NEP7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL1,ENSG00000150361,,Q9NR64,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL10,ENSG00000161594,,Q6JEL2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL11,ENSG00000178502,,Q9NVR0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL12,ENSG00000117153,,Q53G59,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL13,ENSG00000003096,,Q9P2N7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL14,ENSG00000197705,,Q9P2G3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL15,ENSG00000174010,,Q96M94,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL17,ENSG00000187961,,Q6TDP4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL18,ENSG00000114648,,O94889,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL2,ENSG00000109466,,O95198,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL20,ENSG00000076321,,Q9Y2M5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL21,ENSG00000162413,,Q9UJP4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
KLHL22,ENSG00000099910,,Q53GT1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
