,complex,gene_names
952,100,MRPL41
953,100,MRPS18C
954,100,MRPL48
955,100,MRPS18B
956,100,MRPL4
957,100,MRPS10
958,100,MRPL28
959,100,MRPL34
960,100,MRPL53
961,100,MRPL43
962,100,MRPL45
963,100,MRPL24
964,100,MRPL1
965,100,MRPS35
966,100,MRPS30
967,100,MRPS14
968,100,MRPL11
969,100,MRPL37
970,100,MRPL49
971,100,DAP3
972,100,MRPL14
973,100,MRPL18
974,100,MRPL44
975,100,MRPL19
976,100,MRPL33
977,100,MRPL9
978,100,MRPL2
979,100,MRPS33
980,100,MRPL10
981,100,LACTB
982,100,MRPL21
983,100,MRPL40
984,100,MRPL55
985,100,MRPL38
986,100,MRPL35
987,100,MRPL3
988,100,MRPL27
989,100,MRPS9
990,100,MRPL47
991,100,MRPL50
992,100,MRPS2
993,100,MRPL51
994,100,MRPS24
995,100,MRPL46
996,100,MRPL12
997,100,MRPL15
998,100,MRPL13
999,100,MRPS12
1000,100,MRPL39
1001,100,MRPS31
1002,100,MRPS11
1003,100,MRPL30
1004,100,MRPS15
1005,100,MRPL20
1006,100,MRPS5
1007,100,MRPS6
1008,100,MRPL36
1009,100,MRPL42
1010,100,MRPS17
1011,100,MRPS7
1012,100,MRPL23
1013,100,MRPL16
1014,100,MRPS36
1015,100,MRPL54
1016,100,MRPS16
1017,100,MRPL22
1018,100,MRPS25
1019,100,MRPS22
1020,100,MRPS28
1021,100,MRPL17
1022,100,MRPS18A
1023,100,MRPS34
1024,101,XRCC6
1025,101,HDLBP
1026,101,XRCC5
1027,101,DTNBP1
1028,101,MDC1
1029,101,PRKDC
1030,102,XRCC6
1031,102,DHX9
1032,102,HDLBP
1033,102,XRCC5
1034,102,PRKDC
1035,102,ADAR
1036,103,XRCC6
1037,103,PARP1
1038,103,XRCC5
1039,103,NCOA6
1040,103,PRKDC
1041,104,MATR3
1042,104,SFPQ
1043,104,NONO
1044,105,TOP1
1045,105,SFPQ
1046,105,NONO
1047,106,SGCG
1048,106,SSPN
1049,106,SGCB
1050,106,SGCA
1051,106,SGCD
1052,107,IGF2BP3
1053,107,DDX3X
1054,107,TCERG1
1055,107,U2SURP
1056,107,PPM1G
1057,107,DHX15
1058,107,PRPF4
1059,107,SART1
1060,107,PRPF3
1061,107,PPIH
1062,107,PLRG1
1063,107,ZNF207
1064,107,HTATSF1
1065,107,NUDT21
1066,107,DHX16
1067,107,AQR
1068,107,CDC40
1069,107,PRPF40A
1070,107,SF3B1
1071,107,SNRNP200
1072,107,BCAS2
1073,107,DNAJC8
1074,107,SMNDC1
1075,107,PRPF6
1076,107,LUC7L3
1077,107,SLU7
1078,107,CD2BP2
1079,107,SYF2
1080,107,SNRPB2
1081,107,SNRNP70
1082,107,SNRPA
1083,107,SNRPC
1084,107,SNRPA1
1085,107,PABPC1
1086,107,SNRPB
1087,107,DDX5
1088,107,U2AF2
1089,107,EIF4A3
1090,107,BUD31
1091,107,MTREX
1092,107,RBM25
1093,107,NCBP2
1094,107,MFAP1
1095,107,SNU13
1096,107,MAGOH
1097,107,SNRPE
1098,107,SNRPF
1099,107,SNRPG
1100,107,LSM3
1101,107,LSM6
1102,107,SNRPD1
1103,107,SNRPD2
1104,107,SNRPD3
1105,107,TRA2B
1106,107,TXNL4A
1107,107,SRSF3
1108,107,U2AF1
1109,107,SRSF2
